date,action,cash_in,shares_bought,price,shares,cash,total_value
1995-01-31,buy,1000.0,166.1885427287956,6.017261981964111,166.1885427287956,0.0,1000.0
1995-02-28,buy,1000.0,158.6344357766208,6.303801536560059,324.82297850541636,0.0,2047.6195910124586
1995-03-31,buy,1000.0,154.15182288041171,6.4871110916137695,478.9748013858281,0.0,3107.1627466735076
1995-04-30,buy,1000.0,149.51073893374559,6.688482761383057,628.4855403195736,0.0,4203.614702205984
1995-05-31,buy,1000.0,141.01928912601545,7.091228485107422,769.504829445589,0.0,5456.734565992289
1995-06-30,buy,1000.0,135.82087502975926,7.362638473510742,905.3257044753483,0.0,6665.585862828416
1995-07-31,buy,1000.0,131.94029080753623,7.579185962677002,1037.2659952828844,0.0,7861.631871010227
1995-08-31,buy,1000.0,134.76389913039566,7.420384883880615,1172.02989441328,0.0,8696.912911960497
1995-09-30,buy,1000.0,125.05940934971078,7.996199607849121,1297.0893037629908,0.0,10371.784982094916
1995-10-31,buy,1000.0,120.05709196886001,8.329370498657227,1417.1463957318508,0.0,11803.937380887297
1995-11-30,buy,1000.0,113.58311141007789,8.804125785827637,1530.7295071419287,0.0,13476.735124955485
1995-12-31,buy,1000.0,115.87769639238151,8.629788398742676,1646.6072035343102,0.0,14209.87174234651
1996-01-31,buy,1000.0,114.14817721784937,8.760542869567871,1760.7553807521595,0.0,15425.172995901592
1996-02-29,buy,1000.0,106.55005167582395,9.385260581970215,1867.3054324279833,0.0,17525.1480694652
1996-03-31,buy,1000.0,103.6548615450345,9.647400856018066,1970.9602939730178,0.0,19014.64402725291
1996-04-30,buy,1000.0,105.2447110963546,9.501665115356445,2076.2050050693724,0.0,19727.404668996107
1996-05-31,buy,1000.0,93.23310115809615,10.725804328918457,2169.438106227469,0.0,23268.968631095246
1996-06-30,buy,1000.0,87.29218618818865,11.455779075622559,2256.7302924156575,0.0,25852.603663178867
1996-07-31,buy,1000.0,91.24940313640236,10.958975791931152,2347.9796955520596,0.0,25731.4526435009
1996-08-31,buy,1000.0,85.54634987087802,11.689569473266602,2433.526045422938,0.0,28446.871772975166
1996-09-30,buy,1000.0,83.87437113778917,11.922593116760254,2517.400416560727,0.0,30013.940878616322
1996-10-31,buy,1000.0,84.4972043404482,11.834711074829102,2601.8976209011753,0.0,30792.706589650632
1996-11-30,buy,1000.0,83.26111540686682,12.010408401489258,2685.158736308042,0.0,32249.853045886386
1996-12-31,buy,1000.0,80.8879019677285,12.362788200378418,2766.0466382757704,0.0,34196.048741372084
1997-01-31,buy,1000.0,73.55035979196121,13.596126556396484,2839.5969980677314,0.0,38607.52015489242
1997-02-28,buy,1000.0,69.78237529442401,14.330265998840332,2909.3793733621555,0.0,41692.18031181909
1997-03-31,buy,1000.0,76.18137598076866,13.126567840576172,2985.5607493429243,0.0,39190.16571841133
1997-04-30,buy,1000.0,66.75228504170936,14.98076057434082,3052.3130343846337,0.0,45725.970766055914
1997-05-31,buy,1000.0,62.001672179497945,16.128597259521484,3114.3147065641315,0.0,50229.527641577704
1997-06-30,buy,1000.0,62.32967577483814,16.04372215270996,3176.6443823389695,0.0,50965.19984821338
1997-07-31,buy,1000.0,61.315300008607494,16.30914306640625,3237.959682347577,0.0,52808.34770266197
1997-08-31,buy,1000.0,73.95278352983178,13.522141456604004,3311.912465877409,0.0,44784.148855484505
1997-09-30,buy,1000.0,69.31340283913826,14.427224159240723,3381.225868716547,0.0,48781.70354099707
1997-10-31,buy,1000.0,74.66880181886711,13.392474174499512,3455.894670535414,0.0,46282.98012493603
1997-11-30,buy,1000.0,67.50224765870762,14.814321517944336,3523.396918194122,0.0,52196.73478146194
1997-12-31,buy,1000.0,63.26355339228856,15.806889533996582,3586.6604715864105,0.0,56693.94587031848
1998-01-31,buy,1000.0,65.15658506061888,15.34764289855957,3651.8170566470294,0.0,56046.78411628749
1998-02-28,buy,1000.0,61.47744360549597,16.266128540039062,3713.2945002525253,0.0,60400.92564812769
1998-03-31,buy,1000.0,54.36869121309043,18.3929386138916,3767.663191465616,0.0,69298.39779844599
1998-04-30,buy,1000.0,55.48829707778583,18.021818161010742,3823.1514885434017,0.0,68900.14092852673
1998-05-31,buy,1000.0,53.718346510835154,18.61561393737793,3876.869835054237,0.0,72170.31213483572
1998-06-30,buy,1000.0,49.15090178453825,20.34550666809082,3926.020736838775,0.0,79876.88108041613
1998-07-31,buy,1000.0,52.203749635322126,19.155712127685547,3978.2244864740974,0.0,76205.72304220748
1998-08-31,buy,1000.0,64.5282541883094,15.497087478637695,4042.7527406624067,0.0,62650.89287654761
1998-09-30,buy,1000.0,72.74701614894457,13.746268272399902,4115.499756811351,0.0,56572.76373212539
1998-10-31,buy,1000.0,62.046974528323325,16.1168212890625,4177.546731339675,0.0,67328.77409570874
1998-11-30,buy,1000.0,59.71053564867763,16.74746322631836,4237.257266988352,0.0,70963.31025933765
1998-12-31,buy,1000.0,62.43982749397024,16.015419006347656,4299.697094482322,0.0,68861.45056850999
1999-01-31,buy,1000.0,64.05314174534573,15.61203670501709,4363.750236227668,0.0,68127.02885951335
1999-02-28,buy,1000.0,65.4946360439235,15.268425941467285,4429.244872271592,0.0,67627.59730890252
1999-03-31,buy,1000.0,67.98899624197556,14.70826244354248,4497.233868513567,0.0,66146.49600808536
1999-04-30,buy,1000.0,61.30870357949055,16.310897827148438,4558.542572093058,0.0,74353.9221341163
1999-05-31,buy,1000.0,60.91714764584054,16.415739059448242,4619.4597197388985,0.0,75831.84535486567
1999-06-30,buy,1000.0,67.14077359262072,14.894079208374023,4686.600493331519,0.0,69802.59896568442
1999-07-31,buy,1000.0,68.73439617784484,14.54875659942627,4755.334889509364,0.0,69184.20985623135
1999-08-31,buy,1000.0,69.59627264469367,14.368585586547852,4824.931162154057,0.0,69327.43635261236
1999-09-30,buy,1000.0,86.0237424728528,11.6246976852417,4910.95490462691,0.0,57088.366112142816
1999-10-31,buy,1000.0,70.34991261409647,14.214658737182617,4981.304817241007,0.0,70807.54804296474
1999-11-30,buy,1000.0,61.514114896870275,16.256431579589844,5042.818932137878,0.0,81978.24093855973
1999-12-31,buy,1000.0,71.08444769421409,14.067774772644043,5113.903379832092,0.0,71941.240956541
2000-01-31,buy,1000.0,72.08998928594214,13.871551513671875,5185.993369118034,0.0,71937.77416928158
2000-02-29,buy,1000.0,85.15510220754591,11.743277549743652,5271.1484713255795,0.0,61900.55950468325
2000-03-31,buy,1000.0,87.88705743357046,11.378239631652832,5359.03552875915,0.0,60976.39044076295
2000-04-30,buy,1000.0,87.30577018923455,11.453996658325195,5446.341298948385,0.0,62382.3750382533
2000-05-31,buy,1000.0,77.28704043709821,12.938779830932617,5523.628339385483,0.0,71469.01095120871
2000-06-30,buy,1000.0,71.58862592775992,13.96869945526123,5595.216965313242,0.0,78157.90417543949
2000-07-31,buy,1000.0,67.06417886936264,14.911089897155762,5662.281144182605,0.0,84430.78316387681
2000-08-31,buy,1000.0,78.112148698661,12.802105903625488,5740.3932928812665,0.0,73489.12286392742
2000-09-30,buy,1000.0,74.35474192868107,13.449041366577148,5814.748034809948,0.0,78202.78685638217
2000-10-31,buy,1000.0,67.8890954513006,14.72990608215332,5882.637130261249,0.0,86650.69244413612
2000-11-30,buy,1000.0,65.26592145876346,15.321931838989258,5947.903051720013,0.0,91133.36514337023
2000-12-31,buy,1000.0,67.07326044018619,14.90907096862793,6014.976312160199,0.0,89677.70871261231
2001-01-31,buy,1000.0,70.47030427927041,14.190374374389648,6085.44661643947,0.0,86354.76572263884
2001-02-28,buy,1000.0,77.07477269367796,12.974413871765137,6162.521389133148,0.0,79955.10299621847
2001-03-31,buy,1000.0,90.18137484076422,11.088764190673828,6252.702763973912,0.0,69334.74650408118
2001-04-30,buy,1000.0,88.17049601033249,11.341662406921387,6340.873259984244,0.0,71916.04387981637
2001-05-31,buy,1000.0,85.91966090209515,11.638779640197754,6426.79292088634,0.0,74800.02659937898
2001-06-30,buy,1000.0,90.14721516447386,11.092966079711914,6516.940136050814,0.0,72292.19587272483
2001-07-31,buy,1000.0,90.95567929990108,10.994365692138672,6607.895815350715,0.0,72649.62304951859
2001-08-31,buy,1000.0,83.34960195401501,11.997657775878906,6691.24541730473,0.0,80279.27261124019
2001-09-30,buy,1000.0,85.65369124315137,11.674920082092285,6776.899108547881,0.0,79119.75549669896
2001-10-31,buy,1000.0,83.81107914149786,11.931596755981445,6860.7101876893785,0.0,81859.22741916344
2001-11-30,buy,1000.0,85.13252228528329,11.746392250061035,6945.842709974661,0.0,81588.5929785893
2001-12-31,buy,1000.0,84.78946083148296,11.79391860961914,7030.632170806144,0.0,82918.7035966576
2002-01-31,buy,1000.0,91.37881376500049,10.943455696105957,7122.010984571145,0.0,77939.4116768343
2002-02-28,buy,1000.0,84.36004170953753,11.85395336151123,7206.371026280683,0.0,85423.98605127704
2002-03-31,buy,1000.0,76.18054024325876,13.12671184539795,7282.551566523942,0.0,95595.95591301122
2002-04-30,buy,1000.0,71.72033218094374,13.943047523498535,7354.271898704886,0.0,102540.96258437203
2002-05-31,buy,1000.0,71.65580427007572,13.95560359954834,7425.927702974961,0.0,103633.3033816231
2002-06-30,buy,1000.0,70.82951938781252,14.118407249450684,7496.757222362774,0.0,105842.27151557835
2002-07-31,buy,1000.0,79.42433235185557,12.59060001373291,7576.18155471463,0.0,95388.67158683304
2002-08-31,buy,1000.0,77.77354016257905,12.857843399047852,7653.9550948772085,0.0,98413.35599327559
2002-09-30,buy,1000.0,82.37881136423094,12.139043807983398,7736.33390624144,0.0,93911.69620105217
2002-10-31,buy,1000.0,85.001889604613,11.764444351196289,7821.335795846053,0.0,92013.66972225043
2002-11-30,buy,1000.0,86.18255553152865,11.603276252746582,7907.518351377582,0.0,91753.1199046973
2002-12-31,buy,1000.0,89.72106429449444,11.145654678344727,7997.239415672077,0.0,89134.46890712832
2003-01-31,buy,1000.0,97.21636457916802,10.286334037780762,8094.4557802512445,0.0,83262.2760097096
2003-02-28,buy,1000.0,97.79636960673693,10.22532844543457,8192.25214985798,0.0,83768.46894011533
2003-03-31,buy,1000.0,96.60059640211199,10.351902961730957,8288.852746260092,0.0,85805.39929336162
2003-04-30,buy,1000.0,96.79191965588328,10.331440925598145,8385.644665915976,0.0,86635.79248896809
2003-05-31,buy,1000.0,85.81068319175256,11.653560638427734,8471.455349107728,0.0,98722.6186065599
2003-06-30,buy,1000.0,83.85976145246576,11.924670219421387,8555.315110560194,0.0,102019.31131666293
2003-07-31,buy,1000.0,86.54509853087035,11.554669380187988,8641.860209091064,0.0,99853.83754584948
2003-08-31,buy,1000.0,89.42853889816844,11.182112693786621,8731.288747989232,0.0,97634.25474200668
2003-09-30,buy,1000.0,90.15088883967321,11.092514038085938,8821.439636828905,0.0,97851.94300765234
2003-10-31,buy,1000.0,83.46732111129181,11.98073673248291,8904.906957940197,0.0,106687.34589033676
2003-11-30,buy,1000.0,82.89437152833335,12.063545227050781,8987.80132946853,0.0,108424.74782979075
2003-12-31,buy,1000.0,75.95248449841384,13.166126251220703,9063.753813966943,0.0,119334.52702467194
2004-01-31,buy,1000.0,78.2816288983628,12.774389266967773,9142.035442865306,0.0,116783.91943957754
2004-02-29,buy,1000.0,77.15345928535102,12.961181640625,9219.188902150658,0.0,119491.58194000885
2004-03-31,buy,1000.0,76.24798950042754,13.115099906921387,9295.436891651085,0.0,121910.58351248677
2004-04-30,buy,1000.0,75.84092887084911,13.185492515563965,9371.277820521935,0.0,123564.91356376256
2004-05-31,buy,1000.0,74.68891667607481,13.388867378234863,9445.96673719801,0.0,126470.79590356204
2004-06-30,buy,1000.0,75.60827441398821,13.226065635681152,9521.575011611998,0.0,125932.97605864181
2004-07-31,buy,1000.0,87.02022117053092,11.491581916809082,9608.595232782529,0.0,110417.95922298166
2004-08-31,buy,1000.0,85.36580401757635,11.714292526245117,9693.961036800105,0.0,113557.89532309884
2004-09-30,buy,1000.0,94.74394019303232,10.554764747619629,9788.704976993136,0.0,103317.47821601597
2004-10-31,buy,1000.0,93.32251695325179,10.715527534484863,9882.027493946389,0.0,105891.13770791898
2004-11-30,buy,1000.0,95.92204869888907,10.425131797790527,9977.949542645278,0.0,104021.43905378073
2004-12-31,buy,1000.0,90.55461610691388,11.043059349060059,10068.504158752192,0.0,111187.08898135848
2005-01-31,buy,1000.0,90.88205716062735,11.00327205657959,10159.386215912818,0.0,111786.49046155337
2005-02-28,buy,1000.0,88.1003570557474,11.350691795349121,10247.486572968566,0.0,116316.06176674459
2005-03-31,buy,1000.0,89.90120415156562,11.123321533203125,10337.387777120131,0.0,114986.08805831114
2005-04-30,buy,1000.0,86.2380397084025,11.595810890197754,10423.625816828533,0.0,120870.39376212677
2005-05-31,buy,1000.0,83.93862557961283,11.913466453552246,10507.564442408146,0.0,125181.51649316786
2005-06-30,buy,1000.0,89.15726431091447,11.21613597869873,10596.72170671906,0.0,118854.27159098946
2005-07-31,buy,1000.0,85.06207337181414,11.756120681762695,10681.783780090873,0.0,125576.33921524361
2005-08-31,buy,1000.0,84.59805042452881,11.820603370666504,10766.381830515402,0.0,127265.12935567297
2005-09-30,buy,1000.0,85.63931547090124,11.6768798828125,10852.021145986302,0.0,126717.7474074233
2005-10-31,buy,1000.0,86.46005818336053,11.566034317016602,10938.481204169662,0.0,126514.8489834674
2005-11-30,buy,1000.0,86.07527728636839,11.617737770080566,11024.556481456031,0.0,128080.40623299824
2005-12-31,buy,1000.0,91.15735191829069,10.97004222869873,11115.713833374322,0.0,121939.85015424696
2006-01-31,buy,1000.0,88.80023529298185,11.261231422424316,11204.514068667304,0.0,126176.62590307157
2006-02-28,buy,1000.0,87.55189171438393,11.421797752380371,11292.065960381688,0.0,128975.69360601845
2006-03-31,buy,1000.0,87.12488848448662,11.477776527404785,11379.190848866174,0.0,130607.8096259755
2006-04-30,buy,1000.0,86.93801466206779,11.502448081970215,11466.128863528242,0.0,131888.55195391373
2006-05-31,buy,1000.0,82.8507701481669,12.069893836975098,11548.979633676408,0.0,139394.9581038618
2006-06-30,buy,1000.0,84.1889514365721,11.878043174743652,11633.16858511298,0.0,138179.27871304352
2006-07-31,buy,1000.0,81.38895613674434,12.2866792678833,11714.557541249726,0.0,143933.01127449897
2006-08-31,buy,1000.0,80.82593259890997,12.37226676940918,11795.383473848635,0.0,145935.63098593568
2006-09-30,buy,1000.0,80.49993708639293,12.422369956970215,11875.883410935028,0.0,147526.61729648025
2006-10-31,buy,1000.0,76.98492922745478,12.989555358886719,11952.868340162482,0.0,155262.44500202496
2006-11-30,buy,1000.0,76.29403050666915,13.107185363769531,12029.162370669152,0.0,157668.4609632419
2006-12-31,buy,1000.0,74.04871946665058,13.504622459411621,12103.211090135803,0.0,163449.29631884777
2007-01-31,buy,1000.0,74.62093037621025,13.401065826416016,12177.832020512013,0.0,163195.92852991822
2007-02-28,buy,1000.0,76.53917631275064,13.065204620361328,12254.371196824763,0.0,160105.86718037765
2007-03-31,buy,1000.0,73.90658602681053,13.530593872070312,12328.277782851574,0.0,166808.91982183207
2007-04-30,buy,1000.0,67.97312543253963,14.71169662475586,12396.250908284113,0.0,182369.88264703014
2007-05-31,buy,1000.0,66.94688894785378,14.937213897705078,12463.197797231967,0.0,186165.45134666067
2007-06-30,buy,1000.0,67.366295946539,14.844218254089355,12530.564093178506,0.0,186006.428245997
2007-07-31,buy,1000.0,67.62481646368546,14.787470817565918,12598.188909642191,0.0,186295.3508555165
2007-08-31,buy,1000.0,65.52493447669025,15.26136589050293,12663.713844118882,0.0,193265.57050772564
2007-09-30,buy,1000.0,60.943205746437684,16.408720016479492,12724.65704986532,0.0,208795.33483696196
2007-10-31,buy,1000.0,56.709922808705684,17.63359832763672,12781.366972674026,0.0,225381.4912742559
2007-11-30,buy,1000.0,56.094958966716405,17.826913833618164,12837.461931640742,0.0,228852.3276977129
2007-12-31,buy,1000.0,56.7622086471945,17.617355346679688,12894.224140287937,0.0,227162.128599188
2008-01-31,buy,1000.0,59.04231909753614,16.93700408935547,12953.266459385473,0.0,219389.5269931228
2008-02-29,buy,1000.0,59.58770230789147,16.781986236572266,13012.854161693365,0.0,218381.53944006018
2008-03-31,buy,1000.0,56.86278358969531,17.58619499206543,13069.71694528306,0.0,229846.59069084964
2008-04-30,buy,1000.0,58.7946166089454,17.008359909057617,13128.511561892006,0.0,223294.4497148834
2008-05-31,buy,1000.0,60.44777108874773,16.5432071685791,13188.959332980754,0.0,218187.68658346546
2008-06-30,buy,1000.0,66.15166945312086,15.116776466369629,13255.111002433874,0.0,200374.55006070953
2008-07-31,buy,1000.0,66.76825828280283,14.977176666259766,13321.879260716676,0.0,199524.1392143357
2008-08-31,buy,1000.0,66.03735976265305,15.142943382263184,13387.91662047933,0.0,202732.46339037875
2008-09-30,buy,1000.0,64.56660903814056,15.487881660461426,13452.48322951747,0.0,208350.4682981085
2008-10-31,buy,1000.0,77.49167754624665,12.904611587524414,13529.974907063715,0.0,174599.07096460898
2008-11-30,buy,1000.0,72.23158336618593,13.844359397888184,13602.2064904299,0.0,188313.83525779884
2008-12-31,buy,1000.0,74.78452243041424,13.371750831604004,13676.991012860315,0.0,182885.3159500554
2009-01-31,buy,1000.0,79.24852000795073,12.618532180786133,13756.239532868265,0.0,173583.5512321006
2009-02-28,buy,1000.0,82.876269126255,12.066180229187012,13839.11580199452,0.0,166985.26547945582
2009-03-31,buy,1000.0,76.22410603636627,13.119209289550781,13915.339908030886,0.0,182558.2565886955
2009-04-30,buy,1000.0,77.81763658435837,12.850557327270508,13993.157544615246,0.0,179819.87321660604
2009-05-31,buy,1000.0,68.14584089642102,14.674409866333008,14061.303385511666,0.0,206341.32913385413
2009-06-30,buy,1000.0,69.21603945153713,14.447518348693848,14130.519424963204,0.0,204150.93866873073
2009-07-31,buy,1000.0,66.64682766932502,15.004465103149414,14197.166252632529,0.0,213020.88560123532
2009-08-31,buy,1000.0,68.10902708191477,14.682341575622559,14265.275279714444,0.0,209447.6443270521
2009-09-30,buy,1000.0,61.35479353048454,16.29864501953125,14326.630073244929,0.0,233504.6578899601
2009-10-31,buy,1000.0,61.803617722142114,16.180282592773438,14388.433690967071,0.0,232808.92318722937
2009-11-30,buy,1000.0,57.19415399750251,17.484304428100586,14445.627844964574,0.0,252571.75489640722
2009-12-31,buy,1000.0,57.39484286283227,17.423168182373047,14503.022687827406,0.0,252688.60344278888
